Time,Distance
2023-04-20 06:17:26.433182,-1.06795
2023-04-20 06:17:26.434182,-0.99322
2023-04-20 06:17:26.435182,-0.90916
2023-04-20 06:17:26.436182,-0.83132
2023-04-20 06:17:26.437182,-0.74725
2023-04-20 06:17:26.438182,-0.66941
2023-04-20 06:17:26.439182,-0.58223
2023-04-20 06:17:26.440182,-0.50128
2023-04-20 06:17:26.441182,-0.41099
2023-04-20 06:17:26.442182,-0.32381
2023-04-20 06:17:26.443182,-0.23352
2023-04-20 06:17:26.444182,-0.14322
2023-04-20 06:17:26.445182,-0.04982
2023-04-20 06:17:26.446182,0.04359
2023-04-20 06:17:26.447182,0.137
2023-04-20 06:17:26.448182,0.2304
2023-04-20 06:17:26.449182,0.32692
2023-04-20 06:17:26.450182,0.42033
2023-04-20 06:17:26.451182,0.51374
2023-04-20 06:17:26.452182,0.60714
2023-04-20 06:17:26.453182,0.69744
2023-04-20 06:17:26.454182,0.78773
2023-04-20 06:17:26.455182,0.87802
2023-04-20 06:17:26.456182,0.96832
2023-04-20 06:17:26.457182,1.05861
2023-04-20 06:17:26.458182,1.14579
2023-04-20 06:17:26.459182,1.22985
2023-04-20 06:17:26.460182,1.31703
2023-04-20 06:17:26.461182,1.39799
2023-04-20 06:17:26.462182,1.47894
2023-04-20 06:17:26.463182,1.563
2023-04-20 06:17:26.464182,1.64396
2023-04-20 06:17:26.465182,1.72491
2023-04-20 06:17:26.466182,1.80586
2023-04-20 06:17:26.467182,1.88681
2023-04-20 06:17:26.468182,1.96777
2023-04-20 06:17:26.469182,2.04872
2023-04-20 06:17:26.470182,2.12344
2023-04-20 06:17:26.471182,2.20128
2023-04-20 06:17:26.472182,2.27601
2023-04-20 06:17:26.473182,2.35073
2023-04-20 06:17:26.474182,2.42234
2023-04-20 06:17:26.475182,2.49396
2023-04-20 06:17:26.476182,2.56557
2023-04-20 06:17:26.477182,2.63095
2023-04-20 06:17:26.478182,2.69634
2023-04-20 06:17:26.479182,2.76484
2023-04-20 06:17:26.480182,2.82711
2023-04-20 06:17:26.481182,2.88626
2023-04-20 06:17:26.482182,2.94853
2023-04-20 06:17:26.483182,3.00147
2023-04-20 06:17:26.484182,3.0544
2023-04-20 06:17:26.485182,3.10421
2023-04-20 06:17:26.486182,3.15403
2023-04-20 06:17:26.487182,3.19762
2023-04-20 06:17:26.488182,3.2381
2023-04-20 06:17:26.489182,3.27546
2023-04-20 06:17:26.490182,3.30971
2023-04-20 06:17:26.491182,3.34396
2023-04-20 06:17:26.492182,3.37198
2023-04-20 06:17:26.493182,3.39689
2023-04-20 06:17:26.494182,3.42179
2023-04-20 06:17:26.495182,3.44048
2023-04-20 06:17:26.496182,3.45604
2023-04-20 06:17:26.497182,3.47161
2023-04-20 06:17:26.498182,3.48095
2023-04-20 06:17:26.499182,3.49029
2023-04-20 06:17:26.500182,3.49029
2023-04-20 06:17:26.501182,3.49029
2023-04-20 06:17:26.502182,3.49029
2023-04-20 06:17:26.503182,3.49029
2023-04-20 06:17:26.504182,3.48407
2023-04-20 06:17:26.505182,3.47473
2023-04-20 06:17:26.506182,3.46227
2023-04-20 06:17:26.507182,3.4467
2023-04-20 06:17:26.508182,3.43114
2023-04-20 06:17:26.509182,3.40934
2023-04-20 06:17:26.510182,3.38443
2023-04-20 06:17:26.511182,3.35641
2023-04-20 06:17:26.512182,3.32527
2023-04-20 06:17:26.513182,3.29103
2023-04-20 06:17:26.514182,3.25366
2023-04-20 06:17:26.515182,3.2163
2023-04-20 06:17:26.516182,3.17271
2023-04-20 06:17:26.517182,3.12601
2023-04-20 06:17:26.518182,3.07619
2023-04-20 06:17:26.519182,3.02637
